Key	Concept	Number	Gloss
6	THE SAND	157	sand
4	THE DUST	158	dust
3	THE SOIL	159	earth (as in soil)
62	THE CLOUD	160	cloud
63	THE FOG	161	fog
46	THE SKY	162	sky
61	THE WIND	163	wind (as in breeze)
65	THE SNOW	164	snow
66	THE ICE	165	ice
72	THE SMOKE	166	smoke
70	THE FIRE	167	fire
74	THE ASH	168	ashes
77	TO BURN (INTRANSITIVE)	169	to burn (intransitive)
1105	THE ROAD	170	road
7	THE MOUNTAIN	171	mountain
1408	RED	172	red
1410	GREEN	173	green
1411	YELLOW	174	yellow
1406	WHITE	175	white
1407	BLACK	176	black
1346	THE NIGHT	177	night
1344	THE DAY (OPPOSED TO NIGHT)	178	day (daytime)
1368	THE YEAR	179	year
1426	WARM	180	warm (as in weather)
1427	COLD	181	cold (as in weather)
1293	FULL	182	full
1319	NEW	183	new
1321	OLD	184	old
1477	GOOD	185	good
1478	BAD	186	bad
548	ROTTEN	187	rotten (as, a log)
1429	DIRTY	188	dirty
1253	STRAIGHT	189	straight
1259	ROUND	190	round
1419	SHARP	191	sharp (as a knife)
1420	BLUNT	192	dull (as a knife)
1418	SMOOTH	193	smooth
1423	WET	194	wet
1424	DRY	195	dry (adjective)
1479	RIGHT (BE CORRECT)	196	right (correct)
1232	NEAR	197	near
1233	FAR	198	far
1230	RIGHT (SIDE)	199	right (side)
1231	LEFT	200	left (side)
1194	AT	201	at
1193	IN	202	in
1891	WITH	203	with (accompanying)
1541	AND	204	and
1543	IF	205	if
1542	BECAUSE	206	because
1581	THE NAME	207	name
